id_tiempo,ano,semana
2010-W38,2010,38
2010-W39,2010,39
2010-W40,2010,40
2010-W41,2010,41
2010-W42,2010,42
2010-W43,2010,43
2010-W44,2010,44
2010-W45,2010,45
2010-W46,2010,46
2010-W47,2010,47
2010-W48,2010,48
2010-W49,2010,49
2010-W50,2010,50
2010-W51,2010,51
2010-W52,2010,52
2011-W01,2011,1
2011-W02,2011,2
2011-W03,2011,3
2011-W04,2011,4
2011-W05,2011,5
2011-W06,2011,6
2011-W07,2011,7
2011-W08,2011,8
2011-W09,2011,9
2011-W10,2011,10
2011-W11,2011,11
2011-W12,2011,12
2011-W13,2011,13
2011-W14,2011,14
2011-W15,2011,15
2011-W16,2011,16
2011-W17,2011,17
2011-W18,2011,18
2011-W19,2011,19
2011-W20,2011,20
2011-W21,2011,21
2011-W22,2011,22
2011-W23,2011,23
2011-W24,2011,24
2011-W25,2011,25
2011-W26,2011,26
2011-W27,2011,27
2011-W28,2011,28
2011-W29,2011,29
2011-W30,2011,30
2011-W31,2011,31
2011-W32,2011,32
2011-W33,2011,33
2011-W34,2011,34
2011-W35,2011,35
2011-W36,2011,36
2011-W37,2011,37
2011-W38,2011,38
2011-W39,2011,39
2011-W40,2011,40
2011-W41,2011,41
2011-W42,2011,42
2011-W43,2011,43
2011-W44,2011,44
2011-W45,2011,45
2011-W46,2011,46
2011-W47,2011,47
2011-W48,2011,48
2011-W49,2011,49
2011-W50,2011,50
2011-W51,2011,51
2011-W52,2011,52
2012-W01,2012,1
2012-W02,2012,2
2012-W03,2012,3
2012-W04,2012,4
2012-W05,2012,5
2012-W06,2012,6
2012-W07,2012,7
2012-W08,2012,8
2012-W09,2012,9
2012-W10,2012,10
2012-W11,2012,11
2012-W12,2012,12
2012-W13,2012,13
2012-W14,2012,14
2012-W15,2012,15
2012-W16,2012,16
2012-W17,2012,17
2012-W18,2012,18
2012-W19,2012,19
2012-W20,2012,20
2012-W21,2012,21
2012-W22,2012,22
2012-W23,2012,23
2012-W24,2012,24
2012-W25,2012,25
2012-W26,2012,26
2012-W27,2012,27
2012-W28,2012,28
2012-W29,2012,29
2012-W30,2012,30
2012-W31,2012,31
2012-W32,2012,32
2012-W33,2012,33
2012-W34,2012,34
2012-W35,2012,35
2012-W36,2012,36
2012-W37,2012,37
2012-W38,2012,38
2012-W39,2012,39
2012-W40,2012,40
2012-W41,2012,41
2012-W42,2012,42
2012-W43,2012,43
2012-W44,2012,44
2012-W45,2012,45
2012-W46,2012,46
2012-W47,2012,47
2012-W48,2012,48
2012-W49,2012,49
2012-W50,2012,50
2012-W51,2012,51
2012-W52,2012,52
2013-W01,2013,1
2013-W02,2013,2
2013-W03,2013,3
2013-W04,2013,4
2013-W05,2013,5
2013-W06,2013,6
2013-W07,2013,7
2013-W08,2013,8
2013-W09,2013,9
2013-W10,2013,10
2013-W11,2013,11
2013-W12,2013,12
2013-W13,2013,13
2013-W14,2013,14
2013-W15,2013,15
2013-W16,2013,16
2013-W17,2013,17
2013-W18,2013,18
2013-W19,2013,19
2013-W20,2013,20
2013-W21,2013,21
2013-W22,2013,22
2013-W23,2013,23
2013-W24,2013,24
2013-W25,2013,25
2013-W26,2013,26
2013-W27,2013,27
2013-W28,2013,28
2013-W29,2013,29
2013-W30,2013,30
2013-W31,2013,31
2013-W32,2013,32
2013-W33,2013,33
2013-W34,2013,34
2013-W35,2013,35
2013-W36,2013,36
2013-W37,2013,37
2013-W38,2013,38
2013-W39,2013,39
2013-W40,2013,40
2013-W41,2013,41
2013-W42,2013,42
2013-W43,2013,43
2013-W44,2013,44
2013-W45,2013,45
2013-W46,2013,46
2013-W47,2013,47
2013-W48,2013,48
2013-W49,2013,49
2013-W50,2013,50
2013-W51,2013,51
2013-W52,2013,52
2014-W01,2014,1
2014-W02,2014,2
2014-W03,2014,3
2014-W04,2014,4
2014-W05,2014,5
2014-W06,2014,6
2014-W07,2014,7
2014-W08,2014,8
2014-W09,2014,9
2014-W10,2014,10
2014-W11,2014,11
2014-W12,2014,12
2014-W13,2014,13
2014-W14,2014,14
2014-W15,2014,15
2014-W16,2014,16
2014-W17,2014,17
2014-W18,2014,18
2014-W19,2014,19
2014-W20,2014,20
2014-W21,2014,21
2014-W22,2014,22
2014-W23,2014,23
2014-W24,2014,24
2014-W25,2014,25
2014-W26,2014,26
2014-W27,2014,27
2014-W28,2014,28
2014-W29,2014,29
2014-W30,2014,30
2014-W31,2014,31
2014-W32,2014,32
2014-W33,2014,33
2014-W34,2014,34
2014-W35,2014,35
2014-W36,2014,36
2014-W37,2014,37
2014-W38,2014,38
2014-W39,2014,39
2014-W40,2014,40
2014-W41,2014,41
2014-W42,2014,42
2014-W43,2014,43
2014-W44,2014,44
2014-W45,2014,45
2014-W46,2014,46
2014-W47,2014,47
2014-W48,2014,48
2014-W49,2014,49
2014-W50,2014,50
2014-W51,2014,51
2014-W52,2014,52
2014-W53,2014,53
2015-W01,2015,1
2015-W02,2015,2
2015-W03,2015,3
2015-W04,2015,4
2015-W05,2015,5
2015-W06,2015,6
2015-W07,2015,7
2015-W08,2015,8
2015-W09,2015,9
2015-W10,2015,10
2015-W11,2015,11
2015-W12,2015,12
2015-W13,2015,13
2015-W14,2015,14
2015-W15,2015,15
2015-W16,2015,16
2015-W17,2015,17
2015-W18,2015,18
2015-W19,2015,19
2015-W20,2015,20
2015-W21,2015,21
2015-W22,2015,22
2015-W23,2015,23
2015-W24,2015,24
2015-W25,2015,25
2015-W26,2015,26
2015-W27,2015,27
2015-W28,2015,28
2015-W29,2015,29
2015-W30,2015,30
2015-W31,2015,31
2015-W32,2015,32
2015-W33,2015,33
2015-W34,2015,34
2015-W35,2015,35
2015-W36,2015,36
2015-W37,2015,37
2015-W38,2015,38
2015-W39,2015,39
2015-W40,2015,40
2015-W41,2015,41
2015-W42,2015,42
2015-W43,2015,43
2015-W44,2015,44
2015-W45,2015,45
2015-W46,2015,46
2015-W47,2015,47
2015-W48,2015,48
2015-W49,2015,49
2015-W50,2015,50
2015-W51,2015,51
2015-W52,2015,52
2016-W01,2016,1
2016-W02,2016,2
2016-W03,2016,3
2016-W04,2016,4
2016-W05,2016,5
2016-W06,2016,6
2016-W07,2016,7
2016-W08,2016,8
2016-W09,2016,9
2016-W10,2016,10
2016-W11,2016,11
2016-W12,2016,12
2016-W13,2016,13
2016-W14,2016,14
2016-W15,2016,15
2016-W16,2016,16
2016-W17,2016,17
2016-W18,2016,18
2016-W19,2016,19
2016-W20,2016,20
2016-W21,2016,21
2016-W22,2016,22
